,0,1,2,3,4,5,6
0,5893.474225015469,5857.960885328555,5854.3901520224135,5853.715282363994,5772.3396109423065,5760.109527001796,5761.850614
1,5852.3670880561785,5768.5275803054865,5768.448443816117,5767.951067325212,5761.692918961202,5729.581965653359,5727.998905320438
2,5847.725236153753,5768.700824060584,5769.659670561656,5769.924526222734,5763.631942154201,5729.860836237888,5596.662351551242
3,5831.802552582769,5766.594730375085,5766.124471465495,5578.8203354713405,5582.036632497557,5770.371716,5694.3175528480915
4,5744.447335642139,5738.904188738261,5604.636117,5571.4991357390845,5581.1141598870745,5569.702596866076,5562.405041705636
5,5735.151881732982,5735.806084566701,5577.167193709414,5562.305977648472,5562.787607485258,5585.242101107258,5592.741368270754
6,5733.936916050658,5735.14529,5579.902140027583,5579.455394405086,5555.516799,5591.362520632378,5590.09
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,0,1,2,3,4,5,6
0,5893,5858,5854,5854,5772,5760,5762
1,5852,5769,5768,5768,5762,5730,5728
2,5848,5769,5770,5770,5764,5730,5597
3,5832,5767,5766,5579,5582,5770,5694
4,5744,5739,5605,5571,5581,5570,5562
5,5735,5736,5577,5562,5563,5585,5593
6,5734,5735,5580,5579,5556,5591,5590
