,0,1,2,3,4,5,6
0,5880.769291159808,5843.588526088179,5840.658209395855,5841.210082376605,5762.263539144455,5746.363016366813,5747.916277554841
1,5838.230391056779,5758.072385429031,5756.959720007965,5755.992363806112,5749.394391041664,5719.249599777544,5715.484411819368
2,5835.165993061151,5757.382514408274,5757.967701005782,5757.920660318134,5751.374064885078,5718.711929550893,5592.782676
3,5820.714509154641,5754.242295221656,5753.3900525281515,5560.694706900681,5562.441806048964,5553.461283897977,5535.360822
4,5731.653878807934,5724.820501582488,5584.799644785551,5554.6508348673615,5563.607280440988,5551.502557164656,5544.442659098185
5,5719.649215946742,5719.377427137089,5561.200067079664,5550.735287203597,5545.278349222239,5567.758451726488,5570.297214486564
6,5716.515608035828,5717.726000906793,5558.935077710019,5558.648263974913,5536.007841000759,5574.421018607623,5567.884695007806
,,,,,,,
,,,,,,,
,,,,,,,
,0,1,2,3,4,5,6
0,5881,5844,5841,5841,5762,5746,5748
1,5838,5758,5757,5756,5749,5719,5715
2,5835,5757,5758,5758,5751,5719,5593
3,5821,5754,5753,5561,5562,5553,5535
4,5732,5725,5585,5555,5564,5552,5544
5,5720,5719,5561,5551,5545,5568,5570
6,5717,5718,5559,5559,5536,5574,5568
