Date,Point Forecast,5th Percentile Forecast,95th Percentile Forecast
2024-04-17,1053.88,1049.51,1058.24
2024-04-24,1054.73,1048.3,1061.17
2024-05-01,1054.67,1046.17,1063.16
2024-05-08,1054.61,1044.1,1065.13
2024-05-15,1055.6,1043.16,1068.04
2024-05-22,1057.01,1042.7,1071.32
2024-05-29,1057.45,1041.4,1073.49
2024-06-05,1057.19,1039.52,1074.86
2024-06-12,1057.64,1038.34,1076.94
2024-06-19,1058.99,1038.03,1079.96
2024-06-26,1059.76,1037.18,1082.35
2024-07-03,1059.51,1035.38,1083.64
2024-07-10,1059.55,1033.89,1085.21
2024-07-17,1060.66,1033.42,1087.89
2024-07-24,1061.7,1032.9,1090.51
2024-07-31,1061.52,1031.2,1091.84
2024-08-07,1061.22,1029.42,1093.02
2024-08-14,1061.94,1028.62,1095.25
2024-08-21,1063.12,1028.27,1097.97
2024-08-28,1063.39,1027.04,1099.73
2024-09-04,1062.93,1025.14,1100.73
2024-09-11,1063.19,1023.94,1102.45
2024-09-18,1064.16,1023.41,1104.9
2024-09-25,1064.77,1022.55,1106.99
2024-10-02,1064.36,1020.71,1108.01
2024-10-09,1064.2,1019.14,1109.27
2024-10-16,1065.11,1018.59,1111.62
2024-10-23,1066.01,1018.04,1113.97
2024-10-30,1065.83,1016.46,1115.2
2024-11-06,1065.37,1014.62,1116.12
2024-11-13,1065.83,1013.68,1117.98
2024-11-20,1066.87,1013.3,1120.44
2024-11-27,1067.04,1012.08,1121.99
2024-12-04,1066.46,1010.16,1122.77
2024-12-11,1066.56,1008.9,1124.22
2024-12-18,1067.36,1008.32,1126.39
2024-12-25,1067.89,1007.49,1128.29
2025-01-01,1067.39,1005.67,1129.12
2025-01-08,1067.1,1004.07,1130.13
2025-01-15,1067.86,1003.49,1132.23
2025-01-22,1068.67,1002.97,1134.37
2025-01-29,1068.33,1001.33,1135.33
2025-02-05,1067.77,999.5,1136.05
2025-02-12,1068.17,998.6,1137.73
2025-02-19,1069.11,998.25,1139.98
2025-02-26,1069.23,997.09,1141.37
2025-03-05,1068.58,995.2,1141.97
2025-03-12,1068.56,993.93,1143.19
2025-03-19,1069.29,993.4,1145.19
2025-03-26,1069.77,992.63,1146.92
2025-04-02,1069.24,990.88,1147.6
2025-04-09,1068.85,989.29,1148.42
